"205","AKM","Zakouma Airport","Zakouma","Chad","Zakouma, Chad"
"206","AKN","King Salmon Airport","King Salmon","United States","King Salmon, Alaska, United States"
"207","AKO","Colorado Plains Regional Airport","Akron","United States","Akron, Colorado, United States"
"208","AKP","Anaktuvuk Pass Airport","Anaktuvuk Pass","United States","Anaktuvuk Pass, Alaska, United States"
"209","AKQ","Gunung Batin Airport","Astraksetra","Indonesia","Astraksetra, Indonesia"
"210","AKR","Akure Airport","Akure","Nigeria","Akure, Nigeria"
"211","AKS","Gwaunaru'u Airport","Auki","Solomon Islands","Auki, Solomon Islands"
"212","AKT","RAF Akrotiri","Akrotiri","Cyprus","Akrotiri, Cyprus"
"213","AKU","Aksu Airport","Aksu","People's Republic of China","Aksu, Xinjiang, People's Republic of China"
"214","AKV","Akulivik Airport","Akulivik","Canada","Akulivik, Quebec, Canada"
"215","AKX","Aqtobe Airport","Aqtobe (Aktyubinsk)","Kazakhstan","Aqtobe (Aktyubinsk), Kazakhstan"
"216","AKY","Sittwe Airport","Sittwe","Myanmar (Burma)","Sittwe, Myanmar (Burma)"
"217","ALA","Almaty International Airport","Almaty","Kazakhstan","Almaty, Kazakhstan"
"218","ALB","Albany International Airport","Albany","United States","Albany, New York, United States"
"219","ALC","El Altet Airport","Alicante","Spain","Alicante, Spain"
"220","ALD","Alerta Airport","Alerta","Peru","Alerta, Peru"
"221","ALE","Alpine-Casparis Municipal Airport (FAA: E38)","Alpine","United States","Alpine, Texas, United States"
"222","ALF","Alta Airport","Alta","Norway","Alta, Norway"
"223","ALG","Houari Boumedienne Airport","Algiers","Algeria","Algiers, Algeria"
"224","ALH","Albany Airport","Albany","Australia","Albany, Western Australia, Australia"
"225","ALI","Alice International Airport","Alice","United States","Alice, Texas, United States"
"226","ALJ","Kortdoorn Airport","Alexander Bay","South Africa","Alexander Bay, South Africa"
"227","ALK","Asella Airport","Asella","Ethiopia","Asella, Ethiopia"
"228","ALL","Albenga Airport","Albenga/Villanova","Italy","Albenga/Villanova, Italy"
"229","ALM","Alamogordo-White Sands Regional Airport","Alamogordo","United States","Alamogordo, New Mexico, United States"
"230","ALN","St. Louis Regional Airport","Alton","United States","Alton, Illinois, United States"
"231","ALO","Waterloo Regional Airport","Waterloo","United States","Waterloo, Iowa, United States"
"232","ALP","Aleppo International Airport (Nejrab Airport)","Aleppo","Syria","Aleppo, Syria"
"233","ALQ","Alegrete Federal Airport","Alegrete","Brazil","Alegrete, Rio Grande do Sul, Brazil"
"234","ALR","Alexandra Airport","Alexandra","New Zealand","Alexandra, New Zealand"
"235","ALS","San Luis Valley Regional Airport","Alamosa","United States","Alamosa, Colorado, United States"
"236","ALT","Alenquer Airport","Alenquer","Brazil","Alenquer, Pará, Brazil"
"237","ALU","Alula Airport","Alula","Somalia","Alula, Somalia"
"238","ALV","Andorra La Vella Airport","Andorra la Vella","Andorra","Andorra la Vella, Andorra"
"239","ALW","Walla Walla Regional Airport","Walla Walla","United States","Walla Walla, Washington, United States"
"240","ALX","Thomas C. Russell Field","Alexander City","United States","Alexander City, Alabama, United States"
"241","ALY","Alexandria International Airport","Alexandria","Egypt","Alexandria, Egypt"
"242","ALZ","Alitak Seaplane Base","Lazy Bay","United States","Lazy Bay, Alaska, United States"
"243","AMA","Rick Husband Amarillo International Airport","Amarillo","United States","Amarillo, Texas, United States"
"244","AMB","Ambilobe Airport","Ambilobe","Madagascar","Ambilobe, Madagascar"
"245","AMC","Am Timan Airport","Am Timan","Chad","Am Timan, Chad"
"246","AMD","Sardar Vallabhbhai Patel International Airport","Ahmedabad","India","Ahmedabad, India"
"247","AME","Alto Molocue Airport","Alto Molocue","Mozambique","Alto Molocue, Mozambique"
"248","AMF","Ama Airport","Ama","Papua New Guinea","Ama, Papua New Guinea"
